gen,best,mean,sigma,penalty_scale,correction_scale,gravity,phase,elapsed_s
63,359.44164086906284,156.38172945417514,0.42217341736660424,0.452,0.1575,-1.6,moon,2.712062120437622
64,322.73563245674063,136.972882024956,0.4223822652179414,0.456,0.16,-1.6,moon,3.075544834136963
65,320.3793040757068,159.89849011852556,0.42270124376789725,0.46,0.1625,-1.6,moon,3.0312671661376953
66,319.1882891503908,140.35941056639666,0.4229800000162074,0.464,0.165,-1.6,moon,3.215543031692505
67,323.36995679747105,181.78750482579485,0.4232657262369887,0.468,0.1675,-1.6,moon,3.0539770126342773
68,316.536122358661,117.91726754625483,0.4234392952195738,0.47200000000000003,0.17,-1.6,moon,3.0417520999908447
69,328.51246528670316,123.42990959463232,0.42360230276880045,0.476,0.1725,-1.6,moon,2.7519731521606445
70,317.92854205146176,186.35600836764223,0.4238412488436971,0.48,0.175,-1.6,moon,3.13525128364563
71,325.0153653714014,153.9477562589262,0.42411294871419675,0.484,0.1775,-1.6,moon,3.107340097427368
72,325.5153711622814,142.35487337352168,0.4243257854852107,0.488,0.18,-1.6,moon,3.385403871536255
73,332.4625440929201,120.66618783294298,0.4246288404904798,0.492,0.1825,-1.6,moon,3.124835968017578
74,329.5201388092359,141.10407955659983,0.42483811558499307,0.496,0.185,-1.6,moon,3.0164737701416016
75,321.2734176000656,132.80873349201852,0.42505259086871267,0.5,0.1875,-1.6,moon,3.0303690433502197
76,319.259967470369,185.79195389675536,0.4252101496779317,0.504,0.19,-1.6,moon,2.8147850036621094
77,325.9236867417767,108.62344755326924,0.425361501073052,0.508,0.1925,-1.6,moon,3.006747007369995
78,328.3245935440382,155.31403065666305,0.425535658415705,0.512,0.195,-1.6,moon,3.184476375579834
79,311.8423067233212,91.77348672114825,0.42581445852609173,0.516,0.1975,-1.6,moon,2.9982972145080566
80,325.0797065864576,127.13715732914127,0.4261448076801997,0.52,0.2,-1.6,moon,3.1603541374206543
81,319.22803243730823,154.75458324630043,0.42639544917696887,0.524,0.2025,-1.6,moon,3.079988956451416
82,318.08286439125663,143.75403257377917,0.42663867738729605,0.528,0.205,-1.6,moon,3.154362201690674
83,316.8896371336642,151.54822115094115,0.42692778772729145,0.532,0.2075,-1.6,moon,3.400151014328003
84,324.38004076220176,105.54395840558422,0.42729644238781384,0.536,0.21,-1.6,moon,2.846759080886841
85,406.3357105171445,143.7144716555099,0.42782663259750586,0.54,0.2125,-1.6,moon,2.99992299079895
86,357.4405462039983,131.80265398299224,0.4284924255831846,0.544,0.215,-1.6,moon,2.9290311336517334
87,374.2832119402836,119.50508996341973,0.42922975792797974,0.548,0.2175,-1.6,moon,2.7273507118225098
88,303.5314737277485,131.49173776579346,0.4300772835100058,0.552,0.22,-1.6,moon,2.6868197917938232
89,302.33938885240855,134.57711360614795,0.4308889866718504,0.556,0.2225,-1.6,moon,3.043649911880493
90,301.65707278541726,109.57933759215821,0.4316058464122411,0.56,0.225,-1.6,moon,2.6447551250457764
91,278.35384982939127,98.95505362184156,0.43217440449899824,0.5640000000000001,0.2275,-1.6,moon,2.8487911224365234
92,309.98598693468836,111.69390142177095,0.4326069830196277,0.5680000000000001,0.23,-1.6,moon,3.0277891159057617
93,313.617642665715,61.58629911329526,0.43291408074535576,0.5720000000000001,0.2325,-1.6,moon,2.728193998336792
94,352.6561881874304,106.77166687729623,0.43315397156493074,0.5760000000000001,0.235,-1.6,moon,2.6570119857788086
95,694.4578427838957,99.04892104961172,0.4333277879798101,0.5800000000000001,0.2375,-1.6,moon,2.5149459838867188
96,379.84925887428034,143.01946950447828,0.43356849927670227,0.5840000000000001,0.24,-1.6,moon,2.7551350593566895
97,421.62638779962776,55.86405238600172,0.4337324405032338,0.5880000000000001,0.2425,-1.6,moon,2.4238109588623047
98,567.6837405112747,92.33588377243333,0.43378208349051134,0.5920000000000001,0.245,-1.6,moon,2.422922134399414
99,794.9312164515642,132.70251685198195,0.4337706719253976,0.5960000000000001,0.2475,-1.6,moon,2.8367438316345215
100,679.3580834674948,187.54618146748248,0.43372193480467325,0.6000000000000001,0.25,-1.6,moon,2.4551150798797607
101,934.9051217631722,118.88838006045383,0.43369609319444674,0.6040000000000001,0.2525,-1.6,moon,2.2186620235443115
102,597.2732594061109,146.7638459993378,0.4334971106920014,0.6080000000000001,0.255,-1.6,moon,2.3680381774902344
103,659.2765086164347,149.7998522837509,0.4331780390794481,0.6120000000000001,0.2575,-1.6,moon,2.429203987121582
104,631.5430340097764,216.05830079324969,0.4330021619558848,0.6160000000000001,0.26,-1.6,moon,2.5346550941467285
105,704.6518536785461,156.68090972736596,0.4327498049554538,0.6200000000000001,0.2625,-1.6,moon,2.6520190238952637
106,875.0313906339811,236.82439854496957,0.43245178576334764,0.6240000000000001,0.265,-1.6,moon,2.599449872970581
107,833.3485352110707,228.20924150738728,0.43215227773510534,0.6280000000000001,0.2675,-1.6,moon,2.537121057510376
108,758.8124366569424,228.87523429093386,0.43201099481042515,0.6320000000000001,0.27,-1.6,moon,2.339473009109497
109,852.0517221816802,213.60106166639562,0.43177893686562663,0.6360000000000001,0.2725,-1.6,moon,3.044512987136841
110,1081.8986725018221,299.8374533208515,0.43171375540227985,0.6400000000000001,0.275,-1.6,moon,2.416081190109253
111,1151.238553151135,328.84168953041683,0.4317055959347827,0.6440000000000001,0.2775,-1.6,moon,2.6118438243865967
112,838.1760963045502,302.39486739005275,0.43182907194184433,0.6480000000000001,0.28,-1.6,moon,2.5148322582244873
113,963.6400941456368,229.516771399733,0.4319943128978961,0.6519999999999999,0.2825,-1.6,moon,2.4862351417541504
114,1001.2637897700324,210.29425664664979,0.43205832881455053,0.6559999999999999,0.285,-1.6,moon,2.625762939453125
115,737.5875106617651,217.02538670657987,0.43209453305530726,0.6599999999999999,0.2875,-1.6,moon,2.2795441150665283
116,700.6653531209367,278.3288539635585,0.4319950728753129,0.6639999999999999,0.29,-1.6,moon,2.4452271461486816
117,990.2395285647625,330.5940654889749,0.4320246303633324,0.6679999999999999,0.2925,-1.6,moon,2.4170548915863037
118,1074.390628443223,319.94178825540047,0.4320213308217347,0.6719999999999999,0.295,-1.6,moon,2.455714702606201
119,1034.761751178643,292.702304239099,0.43212785279160315,0.6759999999999999,0.2975,-1.6,moon,2.2817771434783936
120,986.101366784309,223.09681497076184,0.43242374311171633,0.6799999999999999,0.3,-1.6,moon,2.5992629528045654
121,1102.3876782973102,292.39839934784595,0.43276916376818875,0.6839999999999999,0.3025,-1.6,moon,2.4042649269104004
122,1064.1141852597832,277.1185335561896,0.43304224982694683,0.688,0.305,-1.6,moon,2.4979121685028076
123,1194.4524762264352,306.2248684339701,0.4333428979945962,0.692,0.3075,-1.6,moon,2.406747817993164
124,948.2889244465608,280.1315153428002,0.4335488465907553,0.696,0.31,-1.6,moon,2.3737289905548096
125,903.8112319783842,326.8397120675965,0.4335852556090342,0.7,0.3125,-1.6,moon,2.7352356910705566
126,921.5601528484603,292.3556167478332,0.43382490403850643,0.704,0.315,-1.6,moon,2.3825430870056152
127,1099.0081337754252,397.30344512893737,0.4340586010065082,0.708,0.3175,-1.6,moon,2.562567949295044
128,1233.0872799649228,444.3096922626781,0.43417494225817066,0.712,0.32,-1.6,moon,2.692884922027588
129,1094.7635429761906,314.9582597501141,0.4340293113586,0.716,0.3225,-1.6,moon,2.5532028675079346
130,1144.6024279802193,420.7650694670221,0.43387025864800866,0.72,0.325,-1.6,moon,2.6025478839874268
131,986.2011540574604,337.2152715145268,0.43359216349932467,0.724,0.3275,-1.6,moon,2.59283709526062
132,1271.3695523590993,336.62975396018055,0.4332825786697636,0.728,0.33,-1.6,moon,2.4960289001464844
133,923.1610119911969,397.80477974330654,0.43295211175128456,0.732,0.3325,-1.6,moon,2.6568357944488525
134,1059.6811209156294,390.2588279478139,0.43263947842458594,0.736,0.335,-1.6,moon,2.5700700283050537
135,1314.7260378521698,396.35827310969,0.43247444354748765,0.74,0.3375,-1.6,moon,2.674318790435791
136,1206.666796398231,400.29304896238443,0.43218267369782826,0.744,0.34,-1.6,moon,2.472433090209961
137,1085.0707881607361,444.20014246015006,0.43195283954664465,0.748,0.3425,-1.6,moon,2.7491631507873535
138,1068.8897843937125,358.8668748327326,0.43169291400921034,0.752,0.345,-1.6,moon,2.5515949726104736
139,1192.648323786004,522.4291059107109,0.4314763715963078,0.756,0.3475,-1.6,moon,3.020364999771118
140,1100.3197039774723,405.2351957319664,0.43129633827214103,0.76,0.35,-1.6,moon,3.041356086730957
141,1252.3461241970954,525.6265392840969,0.43121071069167066,0.764,0.3525,-1.6,moon,2.9569931030273438
142,1290.2150994440292,591.5354510441919,0.4309906763555734,0.768,0.355,-1.6,moon,2.837122917175293
143,1502.9151904737719,743.0583676709508,0.4307412596149288,0.772,0.3575,-1.6,moon,3.356887102127075
144,1142.3489852797663,557.1642462999182,0.430579182136559,0.776,0.36,-1.6,moon,3.1527609825134277
145,1180.1204358385028,586.3876102604448,0.4301810819300302,0.78,0.3625,-1.6,moon,3.0309011936187744
146,1268.1489946210477,657.3857609572722,0.4300444372930024,0.784,0.365,-1.6,moon,2.9587512016296387
147,1358.1256979342097,684.4348428924791,0.429873396284669,0.788,0.3675,-1.6,moon,3.1159019470214844
148,1171.185440767026,527.8313917047486,0.4296782551104362,0.792,0.37,-1.6,moon,2.9868271350860596
149,1413.4967876272929,564.9367569700863,0.4295897859787144,0.796,0.3725,-1.6,moon,2.9265317916870117
150,1242.0961670177412,671.3087509307261,0.42944413531419834,0.8,0.375,-1.6,moon,3.085649013519287
151,1222.6624314240598,568.135211071896,0.42928314621456626,0.804,0.3775,-1.6,moon,2.7730300426483154
152,1201.7500024821709,525.856747854152,0.42908789505042977,0.808,0.38,-1.6,moon,2.7874507904052734
153,1113.4675721299989,609.1126879615165,0.4289807867467025,0.812,0.3825,-1.6,moon,3.0210530757904053
154,1068.7627217142865,444.49454519153915,0.42895718230008045,0.8160000000000001,0.385,-1.6,moon,2.6845920085906982
155,1233.9134837646131,479.28611091500807,0.42879442742074897,0.8200000000000001,0.3875,-1.6,moon,2.5080418586730957
156,1456.520808160779,556.9566791696952,0.428723310196676,0.8240000000000001,0.39,-1.6,moon,2.854990005493164
157,1324.0542947211827,577.3774186545695,0.42869340419203816,0.8280000000000001,0.3925,-1.6,moon,2.8244152069091797
158,1200.761517129321,604.8349270994228,0.4288682148533834,0.8320000000000001,0.395,-1.6,moon,2.8842697143554688
159,1230.972603972699,636.7737154305447,0.4290995698984774,0.8360000000000001,0.3975,-1.6,moon,2.8999712467193604
160,1190.9746464520451,519.2506262163586,0.4293338772554067,0.8400000000000001,0.4,-1.6,moon,2.7177047729492188
161,1224.4677321270538,707.9904309418437,0.4294011043325068,0.8440000000000001,0.4025,-1.6,moon,2.908381938934326
162,1129.461062880033,520.7949483571285,0.429357915046208,0.8480000000000001,0.405,-1.6,moon,2.6556270122528076
163,1392.4639542008479,693.3095758860773,0.4293645422429615,0.8520000000000001,0.4075,-1.6,moon,2.9647200107574463
164,1329.6545614614608,676.7639612384075,0.4293421860174406,0.8560000000000001,0.41,-1.6,moon,3.3551077842712402
165,1216.270393045985,677.542311496529,0.4292649511656598,0.8600000000000001,0.4125,-1.6,moon,3.1745080947875977
166,1224.1018823329985,664.6405488750718,0.42901138039338665,0.8640000000000001,0.415,-1.6,moon,3.0342719554901123
167,414.3977358247574,303.8622476030211,0.42872822258904336,0.8680000000000001,0.4175,-5.0,mid,1.7959439754486084
168,550.4941406407113,16.488648960782804,0.4904265521159035,0.8720000000000001,0.42,-5.0,mid,1.4233348369598389
169,618.2239725197261,92.4113757770497,0.4821509817490384,0.8760000000000001,0.4225,-5.0,mid,1.8763058185577393
170,581.1316676461121,123.406787877854,0.47450543008405616,0.8800000000000001,0.425,-5.0,mid,1.914259910583496
171,893.3239281299271,93.24483077791575,0.4677593821769081,0.8840000000000001,0.4275,-5.0,mid,1.5410327911376953
172,748.4517584616298,88.92603166553099,0.46158987279278346,0.8880000000000001,0.43,-5.0,mid,1.5208871364593506
173,729.8887842686072,131.98688387324972,0.4560674357235878,0.8920000000000001,0.4325,-5.0,mid,1.6479780673980713
174,901.9125457475405,187.79756852787915,0.4510581695331535,0.8960000000000001,0.435,-5.0,mid,1.8118741512298584
175,1059.7885385796847,278.90008042743887,0.446461378414667,0.9000000000000001,0.4375,-5.0,mid,1.8314111232757568
176,844.701977886565,322.762326800923,0.44234065113558135,0.9040000000000001,0.44,-5.0,mid,1.8872270584106445
177,1352.9977049382053,284.79086544492503,0.4386178414693201,0.9080000000000001,0.4425,-5.0,mid,1.9768040180206299
178,1041.481480021827,221.345965673394,0.43507076272975104,0.9120000000000001,0.445,-5.0,mid,1.716991901397705
179,1259.1457834976238,324.45820920304425,0.4318497597505793,0.9160000000000001,0.4475,-5.0,mid,1.991476058959961
180,1008.5670897994809,357.2529049621327,0.42879837992927017,0.9200000000000002,0.45,-5.0,mid,1.86519193649292
181,1087.127131437336,314.5620030730845,0.4260188750189054,0.9240000000000002,0.4525,-5.0,mid,1.832214117050171
182,1099.386019456703,238.20441938589929,0.42362148338756817,0.9280000000000002,0.455,-5.0,mid,1.8430838584899902
183,819.0460953385191,316.58626306662626,0.42118769634515113,0.9320000000000002,0.4575,-5.0,mid,1.7551870346069336
184,1233.0543220555912,332.99272057971007,0.41907273356404523,0.9360000000000002,0.46,-5.0,mid,2.058077096939087
185,1550.9102377533557,386.7836343126702,0.4169557570741237,0.9400000000000002,0.4625,-5.0,mid,1.8301587104797363
186,998.1476829936267,343.7438421771177,0.4147219128646098,0.9440000000000002,0.465,-5.0,mid,1.9890940189361572
187,986.4238504433961,332.3164845632353,0.41275479124875447,0.9480000000000002,0.4675,-5.0,mid,1.8230469226837158
188,1368.0477699432506,354.4584123512044,0.4108927983637904,0.952,0.47,-5.0,mid,1.8755719661712646
