gen,best,mean,sigma,gravity,phase,elapsed_s
141,383.4675297262044,169.89516439911796,0.3970335990596061,-9.77771459569655,random,1.2853617668151855
142,617.593740640721,184.65778429005428,0.39653912687340775,-9.17231586522285,random,1.096977949142456
143,999.4323450134244,215.477122292934,0.3960425322042175,-6.620730299349594,random,1.5450711250305176
144,554.2673203599248,233.15034925797482,0.3955208684750474,-8.778847382789062,random,1.2347009181976318
145,573.5144636164133,229.0437821454907,0.39511442941307884,-10.137404497656068,random,1.1788008213043213
146,945.6811885537021,245.91197589196116,0.39452093113617287,-8.029751043344657,random,1.5495939254760742
147,566.7395595878003,236.12308036269002,0.39409440974727494,-8.751077861318869,random,1.2520639896392822
148,376.20822046101176,137.21695783138898,0.3934150339245081,-10.691654224337114,random,1.15665602684021
149,719.3329304723643,238.69113530093873,0.3927108267069984,-7.557271643004643,random,1.3492422103881836
150,1024.6054784970056,314.9254659966914,0.3920687762299447,-7.71873971517658,random,1.630262851715088
151,506.8218533352653,171.38859840392118,0.3913585509713323,-11.143009441807536,random,1.1586601734161377
152,1117.7617780467363,233.58426913322532,0.3906352400931039,-7.51667473152234,random,1.4421610832214355
153,460.9397315037827,219.30519997930432,0.3899277935198867,-11.640002963045134,random,1.1287500858306885
154,1055.5679891462444,150.2118403691764,0.38929670403779576,-6.725407947103442,random,1.6096479892730713
155,996.0284985477924,321.75973944113576,0.3887584315399538,-8.139925858835701,random,2.064732789993286
156,797.2569037698671,262.9630936460159,0.38831074366679624,-8.851842652551998,random,1.7279419898986816
157,541.3000161733397,213.08146272162807,0.3878841399084098,-9.787714264122169,random,1.2560760974884033
158,587.3211366585028,133.72415289811033,0.38742616039448013,-8.060789089951461,random,1.3445849418640137
159,1031.6117710473109,196.35770409590842,0.3869250173377917,-6.992685915445197,random,1.5251381397247314
160,375.3362173111146,38.71601016868764,0.3863729218285367,-11.289510415468747,random,1.1182923316955566
161,1201.7400647099644,249.98441763161992,0.38579737580318396,-6.306102937860367,random,1.6285500526428223
162,526.8718568259346,149.75925728422644,0.38536236021328607,-10.027457222978617,random,1.1796190738677979
163,514.532052195765,92.56264416948717,0.3849948128365743,-11.806730119641804,random,1.0888431072235107
164,910.9049365874281,202.73043374947446,0.3847047315064731,-6.917976177269114,random,1.4367420673370361
165,868.3899083350503,237.17554796440223,0.38448193947220005,-7.50137464931934,random,1.432939052581787
166,505.83503021159623,102.59351201674266,0.3842844814434199,-11.267233394048704,random,1.1382057666778564
167,489.7625275644411,142.97466580663695,0.38426525032477243,-10.575755800760552,random,1.1917660236358643
168,451.979145897529,82.1739365735797,0.38444451595071644,-11.832521718416714,random,1.2788360118865967
169,553.1043678853922,73.35426846168454,0.3846818129060296,-10.838506299244363,random,1.207930088043213
170,824.5316621528546,224.41164754048776,0.38492798833499947,-8.322549508015959,random,1.5575871467590332
171,707.840375482437,175.6744437263384,0.38510814569762597,-11.670238410065366,random,1.2101130485534668
172,762.1402279643174,165.31121689108085,0.3852290021183966,-8.006130435847387,random,1.4024598598480225
173,651.8380793879529,167.01794382296345,0.3852950297535448,-10.0009821340244,random,1.1223018169403076
174,640.7432218610164,93.704813844416,0.38515222070475624,-11.73572399905883,random,1.0423557758331299
175,910.8301636440075,235.60246419888912,0.38484012219445507,-6.709333406828408,random,1.6488730907440186
176,583.255828826394,170.95230226886636,0.384420096807213,-11.208444036520195,random,1.1475577354431152
177,1156.5290238592272,323.2452555572754,0.38406156798941743,-7.665425466694063,random,1.8479509353637695
178,1264.38294482139,405.3979271971922,0.3837601959350863,-6.297120483300652,random,1.760498046875
179,835.4905068775996,344.9154951286299,0.38337648543703484,-7.758758670247696,random,1.5938689708709717
180,479.75496365654834,160.65010103688314,0.38299413654078757,-11.743790319758276,random,1.0883877277374268
181,1050.093985232318,253.42424161224335,0.38262220349727394,-8.397044005155738,random,1.7384090423583984
182,696.10923554196,203.375102709503,0.38220250259718447,-11.141959663770852,random,1.2353878021240234
183,905.7835678419874,212.2168832802172,0.3818939286045581,-9.913490532839656,random,1.471954107284546
184,816.3964476939351,289.3933628956327,0.38165965630333076,-9.638577999654265,random,1.5187230110168457
185,776.7372361605791,281.74133506904536,0.3814196130137276,-8.848010921750785,random,1.5376346111297607
186,763.9742193123651,249.13150437913004,0.3810908502087497,-11.140817066758856,random,1.463320016860962
187,581.6894410740609,214.05744571001577,0.3810098529002474,-10.812587310476223,random,1.3267080783843994
188,697.7413710893226,180.36127874748212,0.3809232106904945,-8.842064062109603,random,1.4629769325256348
189,651.8978769298255,178.40638639639823,0.38076937620560974,-9.757113609994413,random,1.1296799182891846
190,815.5368791391151,332.43902020679946,0.3806260252329968,-7.335356705779733,random,1.656830072402954
191,953.1614753757309,215.5633800751354,0.3805343411525611,-6.7205809974212825,random,1.635972261428833
192,732.4689163273973,242.94265201882118,0.38062131299956725,-9.828923707814228,random,1.3332798480987549
193,927.9867380045944,212.44552932613152,0.3806122910691718,-7.602032223526794,random,1.5609769821166992
194,699.093219188997,242.81141973221543,0.38048364147645064,-8.690840217183423,random,1.27915620803833
195,679.4863282986228,268.64221681114907,0.38029424176988424,-9.337506496751127,random,1.464123249053955
196,1071.0495613952814,256.6689841644256,0.38025841352113526,-6.37007079913593,random,1.8862919807434082
197,701.0130814553244,242.84977734573658,0.38003924729685173,-7.356135922719553,random,1.3338370323181152
198,680.889060998377,221.1293992170019,0.3797629547389399,-10.007824271171392,random,1.373298168182373
199,629.0925575394258,240.72040519933563,0.3794774909717829,-10.709767028956916,random,1.2493412494659424
200,1028.0458241923543,312.5297091003281,0.3791287553423799,-7.053598056281254,random,1.8305768966674805
201,793.8143895841662,259.5296817583038,0.3787252101379093,-8.486088272349129,random,1.2212789058685303
202,1279.312511880216,427.56474931854683,0.378376255256072,-6.344848457301817,random,1.766408920288086
203,1058.372992930151,296.54944401782984,0.37795743404008675,-8.33035582279859,random,1.3035619258880615
204,989.3858409498376,366.25854605507163,0.3776487126734766,-8.381221960589679,random,1.4926750659942627
205,1337.3355966329093,355.8330750835229,0.3772946871010682,-6.158572350572658,random,1.5338959693908691
206,1131.144949302479,229.7485639237109,0.3769824791998285,-8.811673500455493,random,1.212751865386963
207,421.6086944290805,192.24589332856016,0.3765888673162557,-10.720547632157881,random,1.1844327449798584
208,1076.646201330985,239.8139038825535,0.37633018163414866,-8.424379724946572,random,1.5024819374084473
209,1066.3161513490616,377.3451640912482,0.37616923949514497,-7.666991023048819,random,1.5932748317718506
210,825.4251285557393,257.9982291330101,0.3758933671207174,-8.53738588619472,random,1.4352939128875732
211,791.1297759984062,258.17768149039546,0.3756550126222499,-8.850906195088896,random,1.2541780471801758
212,613.3614550790563,255.94857435459772,0.3755055774208716,-10.255147553909376,random,1.1231720447540283
213,609.1540307507199,259.184024133631,0.3754235962049938,-10.085464743047988,random,1.2755281925201416
214,613.8868913604052,130.0835974591859,0.37535992328635437,-10.192699994194802,random,1.3201789855957031
215,1120.8886340299657,344.5499593465597,0.37536173769805276,-6.411658193094347,random,1.8871831893920898
216,559.9818436460613,156.54066001044333,0.3753682136157201,-10.630939683329409,random,1.3019382953643799
217,637.5387125302788,179.28576410651584,0.37522872265964297,-10.485579954155739,random,1.3001110553741455
218,573.6599353838686,51.562131969712574,0.37505311019222687,-11.244269259101179,random,1.2819712162017822
219,974.2035768198302,240.83412234110955,0.37488231906555514,-8.916147579283981,random,1.5694160461425781
220,743.1515727910913,180.93730124069876,0.37456062014312097,-7.223440575180854,random,1.4760379791259766
221,673.7684004915649,198.30385354305218,0.3743848973593527,-11.476383649091833,random,1.0690300464630127
222,755.3077430876332,164.6833809781577,0.3741348632320156,-9.815365620141117,random,1.2299299240112305
223,835.6898624146178,221.23863452808618,0.37368415046745884,-6.9164119898424214,random,1.5216987133026123
224,785.1179184987499,207.0093348016313,0.37321393822053933,-11.265005422563885,random,1.1382789611816406
225,677.7509943187388,209.96407216670065,0.3728173397400336,-10.922563422885217,random,1.3083488941192627
226,578.3312616446377,202.06703277967847,0.3723888053459025,-11.345661361002977,random,1.0723600387573242
227,629.5834977804744,164.2868293069884,0.3719244997465526,-11.865063358052751,random,1.236191987991333
