arm,gen,n_seeds,median_score,q1_score,q3_score,mean_score
fixed_gravity,210,10,441.2028712152593,350.17851376790395,645.4000002118437,534.7553477490815
fixed_gravity,220,10,394.29333108536446,293.64016213296185,659.175354556896,495.4511654040016
fixed_gravity,230,10,438.1202784476212,406.2826378188159,677.4972432236634,552.2796990124245
fixed_gravity,240,10,565.2190334228286,414.244349558092,820.2573057698148,592.3149618648372
fixed_gravity,250,10,549.1150953783122,416.1935305678336,811.4699954368162,612.8509792826854
fixed_gravity,260,10,668.258466065095,481.3232386764018,765.7090479374054,621.3063102751232
fixed_gravity,270,10,703.1112531336059,447.15889640896137,960.8326663400054,691.4163776271325
fixed_gravity,280,10,738.5618881578475,422.0232001342458,951.0211647151255,760.7649086269482
fixed_gravity,290,10,569.5725961588328,413.04889722066326,988.1507665701004,766.9991191980489
fixed_gravity,300,10,762.8044273355431,514.7461285457604,979.6059094454549,797.7019352122529
fixed_gravity,310,10,766.9577907511606,490.17671317762523,965.1573237151059,736.2963406680475
fixed_gravity,320,10,890.3207656774669,599.0385481937736,1061.0151799829873,824.2782513995598
fixed_gravity,330,10,818.6549370020681,632.1351164783025,999.9190103012867,848.1375111070425
fixed_gravity,340,10,840.3265651099622,577.673215841861,1205.3709338488081,891.827837990656
fixed_gravity,350,10,926.4823687560668,784.49584523977,1023.1803443232732,892.01537831386
fixed_gravity,360,10,996.1107543686456,573.4256047599592,1085.653562719193,928.5728843748178
fixed_gravity,370,10,825.1522951779125,523.6999892374648,1113.367649244583,828.8486175699247
fixed_gravity,380,10,979.2333155894494,666.9040926744163,1189.9526328787854,983.5559613180128
fixed_gravity,390,10,1027.2303112870422,729.2075953567637,1096.5941918042631,920.9607009336603
fixed_gravity,400,10,1037.7198129615733,732.456146163101,1175.5320285243247,976.0397623852671
fixed_gravity,410,10,1015.7071491556413,695.8306086520648,1065.059983420916,954.0493100501424
fixed_gravity,420,10,861.903748668785,693.3713832424775,1193.827715529849,947.7324246575084
fixed_gravity,430,10,1019.9979993091672,587.0149905259984,1218.5978549880474,933.1716255452626
