arm,seed,seed_dir,summary_exists,tte_generation,final_net_progress_m,robustness_mean_net_progress_m,best_earth_probe_score,mean_earth_probe_score
staged_evolution,99,experiments/thesis/staged_evolution/seed_99,True,20.0,-0.0826341610829933,-0.08457352571163565,-323.5342932855717,-351.64489460304117
multi_environment,99,experiments/thesis/multi_environment/seed_99,True,20.0,-0.13549923552009127,-0.166888893808446,-358.2966118884369,-415.18229677991087
adaptive_progression,0,experiments/thesis/adaptive_progression/seed_00,True,350.0,6.019370221163409,4.613183801614559,1358.5724968197155,426.5178605627471
adaptive_progression,1,experiments/thesis/adaptive_progression/seed_01,True,510.0,2.814582835363504,1.3155874078856784,711.8243079433985,136.9621434848577
adaptive_progression,2,experiments/thesis/adaptive_progression/seed_02,True,330.0,10.626751658300357,7.784417474255028,2127.639397794682,758.380050868907
adaptive_progression,3,experiments/thesis/adaptive_progression/seed_03,True,510.0,3.470372960918412,1.9153022370415171,817.0139659412732,218.06281257611425
adaptive_progression,4,experiments/thesis/adaptive_progression/seed_04,True,510.0,6.827997700118236,2.7138656145928883,1328.5579065757615,245.5359360029756
adaptive_progression,5,experiments/thesis/adaptive_progression/seed_05,True,310.0,7.946006640664225,7.13300008107853,1791.971959400209,667.5874407577579
adaptive_progression,6,experiments/thesis/adaptive_progression/seed_06,True,320.0,5.98556739164971,3.444093067255242,1263.8789943315062,287.20344968456607
adaptive_progression,7,experiments/thesis/adaptive_progression/seed_07,True,510.0,4.323801413950316,3.4287766651582365,942.4278408315758,270.02158944746856
adaptive_progression,8,experiments/thesis/adaptive_progression/seed_08,True,450.0,8.960216197783978,7.126066563345219,1782.2873398505242,464.706005204482
adaptive_progression,9,experiments/thesis/adaptive_progression/seed_09,True,510.0,2.446043303708131,2.0041606386350925,592.7607635866356,158.60046126198185
adaptive_progression,99,experiments/thesis/adaptive_progression/seed_99,True,20.0,-0.12066203322936367,-0.07943853231695804,-214.5644203720984,-297.1599581463045
archive_based,0,experiments/thesis/archive_based/seed_00,True,510.0,2.4626036167610623,1.2719348045523682,694.1030326957937,187.57112719302756
archive_based,1,experiments/thesis/archive_based/seed_01,True,510.0,2.951626607197267,2.1878022915478037,630.2544067455774,128.67326866283537
archive_based,2,experiments/thesis/archive_based/seed_02,True,310.0,10.593942625818247,7.683423684656724,1987.623399584195,742.3729958536321
archive_based,3,experiments/thesis/archive_based/seed_03,True,330.0,6.985334547805907,4.548761887939032,1444.838168031755,370.1695416322918
archive_based,4,experiments/thesis/archive_based/seed_04,True,510.0,6.127132044991879,3.1654287013467703,1299.2476172119964,284.3274421188834
archive_based,5,experiments/thesis/archive_based/seed_05,True,330.0,8.382963679989803,7.777341876055969,1808.8636780402405,710.5563895520285
archive_based,6,experiments/thesis/archive_based/seed_06,True,510.0,2.027851971607543,1.165623554186765,292.4291702050225,-17.592856848058034
archive_based,7,experiments/thesis/archive_based/seed_07,True,370.0,5.299028782096012,4.955377678167155,1054.3315342813594,341.9715486426418
archive_based,8,experiments/thesis/archive_based/seed_08,True,390.0,6.521852629516987,5.4950707847016655,1607.1596735100604,471.2220705261399
archive_based,9,experiments/thesis/archive_based/seed_09,True,400.0,9.015458859451915,7.557281264273049,1837.4098005183744,523.2119117193506
archive_based,99,experiments/thesis/archive_based/seed_99,True,20.0,-0.12066203322936367,-0.07943853231695804,-214.5644203720984,-297.1599581463045
