gen,best,mean,sigma,gravity,phase,elapsed_s
142,1069.4394590844925,458.5344352478672,0.3830543886767545,-2.82005,ramp 10%,2.0034921169281006
143,1411.1432988408203,609.0358159234117,0.3829219230141125,-2.839575,ramp 10%,2.393887996673584
144,1252.4212151242566,561.1371096514384,0.3828213169101898,-2.8591,ramp 11%,2.099616050720215
145,1316.5744530059935,494.3310835976339,0.3826456446252694,-2.878625,ramp 11%,2.038780927658081
146,1388.6649726571889,524.410608959159,0.3825603172065109,-2.8981500000000002,ramp 11%,2.168715000152588
147,1291.1533611460416,568.6959666186729,0.38229188242801776,-2.917675,ramp 11%,2.217813014984131
148,1326.2344728209628,527.5841148085156,0.38214969854330466,-2.9372,ramp 12%,2.0960540771484375
149,1367.5756532695277,567.2785742446549,0.38215196683944147,-2.956725,ramp 12%,2.160059690475464
150,1574.636274056517,576.8384214080187,0.3822055903061788,-2.9762500000000003,ramp 12%,2.227497100830078
151,1425.4061515016201,464.57498917508644,0.382311273942371,-2.995775,ramp 12%,2.034386157989502
152,1174.7525209938403,496.75595777541577,0.38239791522366706,-3.0153,ramp 13%,1.8968381881713867
153,1278.7999231623353,513.0814695625205,0.38244210785478633,-3.034825,ramp 13%,2.025045156478882
154,1038.2258800784757,540.6756904381995,0.3824963145626323,-3.0543500000000003,ramp 13%,2.083569049835205
155,1271.2354862847826,579.0588743144442,0.3825704267665172,-3.073875,ramp 13%,2.215178966522217
156,1112.780240955626,449.761882040777,0.38262756965550687,-3.0934,ramp 14%,2.054090976715088
157,1229.7081423371073,538.2601217295717,0.3827125346035496,-3.1129249999999997,ramp 14%,2.0384938716888428
158,1527.7949219869688,558.9131168937063,0.3828273474159371,-3.13245,ramp 14%,2.235952138900757
159,1505.7857731860888,621.0975073138204,0.38282147324965016,-3.151975,ramp 14%,2.152642250061035
160,1629.4716331182917,697.1283562887971,0.38284763788211335,-3.1715,ramp 15%,2.468813896179199
161,1651.948681555806,570.7438270286548,0.38298924671292,-3.191025,ramp 15%,2.1567888259887695
162,1349.379960411576,610.7995130133799,0.3830936968736632,-3.21055,ramp 15%,2.2959799766540527
163,1363.7307080658977,655.988004776026,0.3832120745340192,-3.2300750000000003,ramp 15%,2.208225965499878
164,1392.0407248948748,629.0051472284504,0.38336239540861644,-3.2496,ramp 16%,2.173496961593628
165,1332.5072825365805,439.42744604854977,0.383594381988295,-3.269125,ramp 16%,1.9463038444519043
166,1451.952009661153,593.779449503889,0.383946560037002,-3.28865,ramp 16%,2.399853229522705
167,1471.1240331194485,525.5308551678123,0.38428790758476367,-3.3081750000000003,ramp 16%,2.2680368423461914
168,1334.8813805064308,595.7030930864823,0.3845136169249043,-3.3277,ramp 17%,2.061155080795288
169,1410.2174516884377,546.5514035336261,0.38468483679889404,-3.347225,ramp 17%,2.1998519897460938
170,1569.7886243666524,703.5348070303687,0.38479290458009585,-3.3667499999999997,ramp 17%,2.432210922241211
171,1093.5309068399226,417.3905449165388,0.38483736610987607,-3.386275,ramp 17%,1.8119349479675293
172,1540.7546470363534,529.7093975688028,0.3849081594972608,-3.4058,ramp 18%,1.9357209205627441
173,1204.200157330172,490.9003975892414,0.3849008448465267,-3.425325,ramp 18%,2.05631422996521
174,1275.282570361869,560.0633152321556,0.3848666186800732,-3.4448499999999997,ramp 18%,2.4256391525268555
175,1562.3726734376196,617.1415877111456,0.3848205601599765,-3.464375,ramp 18%,2.4065980911254883
176,1469.4373153131244,702.8501936165707,0.3847255339867668,-3.4839,ramp 19%,2.715609073638916
177,1325.6958662587986,633.0400678623815,0.3844669721739606,-3.503425,ramp 19%,2.6163151264190674
178,1305.4948997616866,507.60422669982637,0.3841987032274696,-3.5229500000000002,ramp 19%,2.080296039581299
179,1519.0400514191776,514.3621558536313,0.38395597625217237,-3.5424750000000005,ramp 19%,2.1350839138031006
180,1524.8627197706007,605.1019028494832,0.3838738310782711,-3.5620000000000003,ramp 20%,2.2492270469665527
181,1690.1568542750301,613.6470168602447,0.3837388607928462,-3.581525,ramp 20%,2.5254111289978027
182,1148.1198204204054,502.1582962632021,0.38363022753447634,-3.60105,ramp 20%,2.265964984893799
183,1307.1732581164745,571.8637643213821,0.38364247224197207,-3.620575,ramp 20%,2.3696041107177734
184,1383.3163402982925,540.5074308604065,0.383730328621018,-3.6401000000000003,ramp 21%,2.3609910011291504
185,1422.1011719209962,615.7550053494995,0.38378946224155325,-3.659625,ramp 21%,2.372473955154419
186,1426.055871501436,630.4269389217219,0.3838297776575396,-3.67915,ramp 21%,2.383639097213745
187,1335.7660269355317,415.4367657910843,0.38391383586290684,-3.698675,ramp 21%,2.090914011001587
188,1240.29646899466,458.86934254518417,0.3841012342977048,-3.7182000000000004,ramp 22%,2.1933400630950928
189,1395.0282307007253,539.6665511767212,0.38438232138357703,-3.737725,ramp 22%,2.2706139087677
190,1508.254551308797,472.4335124825435,0.3846238274392171,-3.75725,ramp 22%,2.1381750106811523
191,1594.4381950783202,647.2044486211441,0.3848972551061341,-3.776775,ramp 22%,2.401362180709839
192,1340.6024838048943,654.2644919950328,0.3851088666816469,-3.7963000000000005,ramp 23%,2.4637398719787598
193,1552.685314012512,612.3043869306742,0.38530510446071,-3.8158250000000002,ramp 23%,2.104685068130493
194,1386.8659092004498,658.3187767140322,0.38539156771767846,-3.83535,ramp 23%,2.2657699584960938
195,1484.9116481474123,600.2075604097191,0.3853838407780388,-3.854875,ramp 23%,2.394253730773926
196,1335.2686026837425,513.6346921062847,0.38554191811143185,-3.8744,ramp 24%,2.1094729900360107
197,1488.1637016098375,499.6347097186732,0.38572263423083963,-3.8939250000000003,ramp 24%,2.1577701568603516
198,1530.0288403450113,548.5148317582182,0.38595927635717514,-3.91345,ramp 24%,2.100052833557129
199,1362.7280300415653,549.8685031436963,0.3863091510078485,-3.932975,ramp 24%,1.9606449604034424
200,1194.1437794681729,546.7057435846791,0.38669219485616324,-3.9525,ramp 25%,2.3127386569976807
201,1383.2990010509102,537.2107458527423,0.38695718885378244,-3.9720250000000004,ramp 25%,2.0483040809631348
202,1467.9129165834236,598.9947419019242,0.3872750516273751,-3.99155,ramp 25%,2.280005693435669
203,1507.6045506875932,528.4493649306136,0.3875782903833736,-4.011075,ramp 25%,1.991034984588623
204,1372.1345087767015,478.9676332353486,0.3878860268762843,-4.0306,ramp 26%,2.1089019775390625
205,1216.554943786549,594.7740065894029,0.38812442260308877,-4.050125,ramp 26%,2.357553243637085
206,1512.862128591946,589.0014128218257,0.3885016521113863,-4.06965,ramp 26%,2.566856861114502
207,1339.792148901847,585.5487539429486,0.3889309406513726,-4.089175000000001,ramp 26%,2.448377847671509
208,1462.3072858676212,699.9357506236529,0.38917995508663955,-4.108700000000001,ramp 27%,2.275151014328003
209,1455.279151040024,645.8607544924486,0.38947862838071773,-4.1282250000000005,ramp 27%,2.2811498641967773
210,1324.5755915662558,642.565483257645,0.3897021138866363,-4.14775,ramp 27%,2.321225881576538
211,1541.6111544754501,755.2159589373058,0.3898512616976015,-4.167275,ramp 27%,2.438504934310913
212,1443.5200951637025,634.8680271825939,0.38990992578824524,-4.1868,ramp 28%,2.22940993309021
213,1543.6397834003583,665.3205419887526,0.38982192310084196,-4.206325,ramp 28%,2.179892063140869
214,1472.1353287777654,689.1331533925371,0.38976767487994435,-4.225849999999999,ramp 28%,2.2725677490234375
215,1297.055713538968,492.3179405349803,0.38966683649232575,-4.245375,ramp 28%,1.909271001815796
216,1461.328312275304,748.140245722567,0.3895171287546295,-4.2649,ramp 28%,2.5687460899353027
217,1522.7674388278408,642.377122185147,0.38935616980202986,-4.284425000000001,ramp 29%,2.056367874145508
218,1712.1349960425093,743.0932255082982,0.38919905657679404,-4.30395,ramp 29%,2.2804489135742188
219,1350.3043803467701,642.0633809476318,0.388941107113885,-4.323475,ramp 29%,2.2900309562683105
220,1383.7445510645812,579.7185953638067,0.3886436974365177,-4.343,ramp 30%,2.0927531719207764
221,1603.4746505204487,743.8059379266933,0.38833626741283855,-4.362525,ramp 30%,2.2342681884765625
222,1409.4413253782507,627.174357557765,0.38788518859180354,-4.38205,ramp 30%,2.360337972640991
223,1523.9498829538843,692.133441063446,0.3874980518080201,-4.401575,ramp 30%,2.356126070022583
224,1408.4474822128923,794.8847647331335,0.38690504731392616,-4.4211,ramp 31%,2.464592695236206
