arm,generation,mean_score,sem_score,mean_progress_m,sem_progress_m,n_seeds
staged_evolution,20,-289.3,30.41,-0.031,0.102,10
staged_evolution,30,-227.88,42.3,0.072,0.15,10
staged_evolution,40,-226.27,46.83,0.066,0.178,10
staged_evolution,50,-191.71,41.45,0.142,0.157,10
staged_evolution,60,-164.75,63.83,-0.03,0.231,10
staged_evolution,70,-140.87,55.3,0.295,0.233,10
staged_evolution,80,-97.82,53.78,0.419,0.214,10
staged_evolution,90,-154.98,62.45,0.132,0.232,10
staged_evolution,100,-32.41,51.28,0.506,0.216,10
staged_evolution,110,-75.65,62.97,0.51,0.266,10
staged_evolution,120,-30.95,50.69,0.654,0.211,10
staged_evolution,130,7.37,35.13,0.831,0.157,10
staged_evolution,140,-80.36,68.62,0.494,0.282,10
staged_evolution,150,-26.31,69.75,0.607,0.281,10
staged_evolution,160,-123.31,72.66,0.282,0.31,10
staged_evolution,170,-71.86,61.98,0.499,0.274,10
staged_evolution,180,55.29,79.76,0.825,0.328,10
staged_evolution,190,58.88,80.98,0.937,0.384,10
staged_evolution,200,156.36,61.37,1.143,0.283,10
staged_evolution,210,132.71,59.7,1.12,0.284,10
staged_evolution,220,187.2,62.64,1.267,0.296,10
staged_evolution,230,313.94,44.66,1.917,0.248,10
staged_evolution,240,249.31,41.61,1.638,0.246,10
staged_evolution,250,260.15,43.39,1.71,0.218,10
staged_evolution,260,270.19,75.73,1.838,0.424,10
staged_evolution,270,235.47,62.46,1.695,0.274,10
staged_evolution,280,298.99,31.59,1.858,0.175,10
staged_evolution,290,231.41,61.84,1.675,0.306,10
staged_evolution,300,254.42,44.28,1.829,0.245,10
staged_evolution,310,280.48,39.35,1.957,0.224,10
staged_evolution,320,265.06,39.83,1.716,0.258,10
staged_evolution,330,347.28,54.45,2.341,0.309,10
staged_evolution,340,517.64,123.15,2.967,0.598,10
staged_evolution,350,905.52,162.62,4.628,0.915,10
staged_evolution,360,909.54,179.73,4.513,0.96,10
staged_evolution,370,978.28,177.21,4.657,0.944,10
staged_evolution,380,962.43,153.26,4.805,0.879,10
staged_evolution,390,1017.13,147.89,5.355,0.914,10
staged_evolution,400,1092.13,155.62,5.518,0.899,10
staged_evolution,410,1275.31,211.0,6.592,1.345,10
staged_evolution,420,1051.57,183.68,5.871,1.141,10
staged_evolution,430,1138.69,221.69,6.228,1.419,10
staged_evolution,440,1155.46,171.13,6.2,1.1,10
staged_evolution,450,1195.47,182.08,6.271,1.106,10
staged_evolution,460,1246.23,204.01,6.533,1.205,10
staged_evolution,470,1060.66,145.73,5.48,0.772,10
